Name,Grade,Action,Industry,Country,Ownership
Agrana,Digging In,continue operating plant in Russia,Consumer Staples,Austria,
Agricultural Bank of China,Digging In,Russian companies open accounts with the bank; decline to comment,Financials,China,
Air China,Digging In,still flying to Russia,Industrials,China,
Air Serbia,Digging In,still flying to Russia,Industrials,Serbia,
Alibaba,Digging In,still operating in Russia,Consumer Discretionary,China,
Align Technology,Digging In,still operating in Russia,Health Care,United States,
Alpina Žiri,Digging In,distributors in Russia,Consumer Discretionary,Slovenia,
Alumil,Digging In,Not disclosed publicly,Materials,Greece,
Anadolu Efes,Digging In,still operating in Russia,Consumer Staples,Turkey,
ANT Group,Digging In,joint venture with the Russian Sovereign Wealth Fund,Information Technology,China,
Anta Sports,Digging In,still operating and providing online sales to Russia,Consumer Discretionary,China,
Antal,Digging In,still operating and actively hiring in Russia,Industrials,United Kingdom,
AnyDesk Software,Digging In,still providing services to Russia; not disclosed publicly,Information Technology,Germany,
Ariston Group,Digging In,still operating and actively hiring in Russia,Consumer Discretionary,Italy,
Auchan-Retail,Digging In,still operating in Russia,Consumer Staples,France,
AUMA Riester GmbH & Co,Digging In,Still operating in and selling to Russia,Industrials,Germany,
B. Braun,Digging In,still operating in Russia,Health Care,Germany,
Babolat,Digging In,still operating and selling to Russia,Consumer Discretionary,France,
Bajaj Auto,Digging In,business as usual,Consumer Discretionary,India,
Benetton,Digging In,continue operations in Russia,Consumer Discretionary,Italy,
Bharat Petroleum (BPCL),Digging In,bought 2 million barrels of Russian Urals for May loading,Energy,India,
Binbit,Digging In,Operating in Russia,Communication Services,Mexico,
Boggi,Digging In,still operating in Russia & online sales running,Consumer Discretionary,Italy,
Bonduelle,Digging In,still operating in Russia,Consumer Staples,France,
BPW,Digging In,still cooperating with dealers in Russia; not disclosed publicly,Consumer Discretionary,Germany,
Bruker,Digging In,Business as usual,Industrials,United States,
BT Group,Digging In,Business as usual,Communication Services,United Kingdom,
Buzzi Unicem,Digging In,continue operating plants in Russia,Materials,Italy,
Calzedonia,Digging In,continue sales in Russia,Consumer Discretionary,Italy,
Camille Albane,Digging In,franchised salons continue to operate,Consumer Discretionary,France,
Carl's Jr. | CLK,Digging In,still operating in Russia,Consumer Discretionary,United States,
Cham Wings,Digging In,still flying to Russia,Industrials,Syria,
ChampionX,Digging In,Business as usual,Energy,United States,
Charoen Pokphand Foods,Digging In,still operating in Russia,Consumer Staples,Thailand,
Check Point Software,Digging In,selling cybersecurity products in Russia,Information Technology,Israel,
China Communications Construction Company,Digging In,planning new infrastructural projects,Industrials,China,
China Construction Bank,Digging In,Russian companies open accounts with the bank; decline to comment,Financials,China,
China Life Insurance Company,Digging In,"offices in Russia, actively looks for new Russian employees",Financials,China,
China Minmetals,Digging In,discussing investments with Chinese government to booster stakes in Russian energy and commodity companies,Materials,China,
China Mobile,Digging In,business as usual,Communication Services,China,
China National Petroleum Corporation,Digging In,business as usual,Energy,China,
China Railway Construction Corporation,Digging In,continues to build Vladivostok highway in March 2022,Industrials,China,
China Railway Engineering Corporation,Digging In,business as usual,Industrials,China,
China State Construction Engineering,Digging In,contractor to the Russian state,Industrials,China,
China State Railway Group Company,Digging In,increasing coal shipments from Russia,Industrials,China,
China United Network Communications,Digging In,a subsidiary in Russia: China Unicom (Russia) Operations Limited Liability Company; business as usual,Communication Services,China,
Chipita,Digging In,Not disclosed publicly; still operating in Russia,Consumer Staples,Greece,
CLAAS,Digging In,still operating in Russia; not disclosed publicly,Industrials,Germany,
Clarins,Digging In,still selling online in Russia,Consumer Discretionary,France,
CLINTON,Digging In,still operating in Russia (Camp David),Consumer Discretionary,Germany,
Cloudflare,Digging In,continue sales & services in Russia,Information Technology,United States,
Coal India,Digging In,expecting highest import level in 2 years,Energy,India,
Coface,Digging In,Business as usual,Financials,France,
Cofix Coffee,Digging In,maintains locations in Russia,Consumer Staples,Israel,
Colin's,Digging In,still selling online,Consumer Discretionary,Turkey,
Coloplast,Digging In,Business as usual,Health Care,Denmark,
Convatec,Digging In,Business as usual,Health Care,United Kingdom,
Corendon Airlines,Digging In,still flying to Russia,Industrials,Turkey,
Cremonini Group,Digging In,continue sales in Russia,Consumer Staples,Italy,
Criteo,Digging In,Business as usual,Consumer Discretionary,France,
De Cecco,Digging In,continue sales and operations in Russia,Consumer Staples,Italy,
Deep in Russia,Digging In,still offering trips to Russia,Industrials,Belgium,
Dentsply Sirona,Digging In,Business as usual,Health Care,United States,
Dessange International,Digging In,still operating salons in Russia,Consumer Discretionary,France,
Didi,Digging In,explicitly reversed decision to exit Russia,Industrials,China,
Diesel,Digging In,still operating in Russia; not disclosed,Consumer Discretionary,Italy,
Dinex A/S,Digging In,Business as usual,Consumer Discretionary,Denmark,
Doka,Digging In,still manufacturing in Russia; not disclosed,Industrials,Austria,
Dr Reddys Labs,Digging In,business as usual; plans new brands in Russia,Health Care,India,
Duol,Digging In,still operating in Russia,Consumer Discretionary,Slovenia,
Egger,Digging In,still operating in Russia,Industrials,Austria,
Egyptair,Digging In,still flying to Russia,Industrials,Egypt,
ELA Container,Digging In,still selling in Russia,Industrials,Germany,
ElvalHalcor,Digging In,Not disclosed publicly,Materials,Greece,
Emirates Airlines,Digging In,still flying to Russia,Industrials,United Arab Emirates,
EMS-Chemie,Digging In,still operating in Russia,Materials,Switzerland,
Etam,Digging In,still selling to Russia,Consumer Discretionary,France,
Etihad Airways,Digging In,still flying to Russia,Industrials,United Arab Emirates,
Euronet Worldwide,Digging In,Business as usual,Financials,United States,
Faurecia,Digging In,still operating and advertising in Russia,Consumer Discretionary,France,
FAW Group,Digging In,remains silent on whether they will continue operations,Industrials,China,
Fenzi Group,Digging In,still operating in Russia,Industrials,Italy,
Fleetcor,Digging In,business as usual,Financials,United States,
Fluidra,Digging In,continuing sales in Russia,Industrials,Spain,
Fondital,Digging In,still operating and investing in Russia,Industrials,Italy,
Foraco,Digging In,still operating in Russia,Energy,France,
Fresenius,Digging In,still operating in Russia,Health Care,Germany,
Frigoglass,Digging In,still operating in Russia,Industrials,Greece,
FS Mackenzie,Digging In,Business as usual,Industrials,United Kingdom,
Geoplin,Digging In,still purchasing Russian gas from Gazprom,Energy,Slovenia,
Gerry Weber,Digging In,Business as usual,Consumer Discretionary,Germany,
Globus,Digging In,still operating in Russia,Consumer Staples,Germany,
Gorenje,Digging In,still operating in Russia,Consumer Discretionary,Slovenia,
Groupe Le Duff,Digging In,still operating in Russia,Consumer Discretionary,France,
Groupe Savencia,Digging In,still operates in Russia,Consumer Staples,France,
Grupo Borges | ITLV,Digging In,still operating in Russia,Consumer Staples,Spain,
Grupo Fuertes,Digging In,still operating in Russia,Consumer Staples,Spain,
Guess,Digging In,Business as usual,Consumer Discretionary,United States,
Haier,Digging In,planning expansion in Russia,Consumer Discretionary,China,
Heidenhain,Digging In,still operating in Russia through a third-party; not disclosed publicly,Information Technology,Germany,
Heliski Russia,Digging In,cooperating with sanctioned individuals,Industrials,France,
Hengli Group,Digging In,business as usual,Energy,China,
Herend,Digging In,still operating in Russia,Consumer Discretionary,Hungary,
Hoffmann Group,Digging In,still operating and advertising in Russia,Industrials,Germany,
Honor,Digging In,business as usual,Information Technology,China,
Huntsman Corporation,Digging In,still operating in Russia,Materials,United States,
Ideal Molde,Digging In,still selling to Russia,Industrials,Portugal,
Indian Oil Corporation,Digging In,signed new deal to import Russian oil,Energy,India,
IndusInd Bank,Digging In,Approved for rupee trade with Russia,Financials,India,
Industrial Bank (China),Digging In,"offices operating in Moscow, did not answer for Reuters' calls for commenting on that",Financials,China,
IQVIA,Digging In,still operating and actively hiring,Industrials,United States,
Iridium,Digging In,Business as usual,Communication Services,United States,
Itochu,Digging In,continues oil & gas exploration partnerships,Consumer Staples,Japan,
JD.com,Digging In,business as usual - the Russian store is still fully operational,Industrials,China,
Jean Cacharel,Digging In,still selling and advertising in Russia,Consumer Discretionary,France,
JKX,Digging In,Business as usual,Energy,United Kingdom,
JSW Steel,Digging In,Increased business with Russia,Materials,India,
Kawasaki,Digging In,"still operating in Russia, providing online sales, and cooperating with dealers",Industrials,Japan,
Kidzania,Digging In,Operating facility in Russia,Communication Services,Mexico,
Kleemann,Digging In,Not disclosed publicly,Industrials,Greece,
Kotanyi,Digging In,still exporting to Russia,Consumer Staples,Austria,
Koton,Digging In,still advertising  and selling to Russia,Consumer Discretionary,Turkey,
Krka,Digging In,still operating in Russia,Health Care,Slovenia,
Kronospan,Digging In,still operating in Russia,Materials,Austria,
Kweichow Moutai,Digging In,business as usual,Consumer Staples,China,
La Redoute,Digging In,still selling products to Russia,Consumer Discretionary,France,
Lacoste,Digging In,still operating in Russia,Consumer Discretionary,France,
LACTALIS,Digging In,still operating in Russia,Consumer Staples,France,
Larsen & Toubro,Digging In,Business as usual,Real Estate,India,
Lemken,Digging In,still operating and advertising in Russia,Industrials,Germany,
Leptos Estates,Digging In,continues operations in Russia,Real Estate,Cyprus,
Letique Cosmetics,Digging In,maintains stores in Russia,Consumer Staples,Latvia,
Liebherr,Digging In,No action taken; still operating in Russia,Industrials,Switzerland,
LiSEC,Digging In,still operating in Russia,Industrials,Austria,
Luka Koper,Digging In,continuing trans shipments,Industrials,Slovenia,
Makita,Digging In,still working with dealers in Russia,Industrials,Japan,
Makrochem SA,Digging In,still operating in Russia,Industrials,Poland,
Match Group,Digging In,continue to operate in Russia including Tinder,Communication Services,United States,
Maxam,Digging In,still operating in Russia,Materials,Spain,
Micro-Star International Co. (MSi),Digging In,still operating in Russia,Information Technology,Taiwan,
Mitsubishi Heavy Industries,Digging In,still operating in Russia,Industrials,Japan,
Mitsui,Digging In,continuing operations within sanctions compliance & shares in Sakhalin-2 project,Materials,Japan,
Mizuho Financial Group,Digging In,still operating in Russia,Financials,Japan,
Mod's Hair,Digging In,still operates in Russia,Consumer Discretionary,France,
"MOL | Mitsui O.S.K. Lines, Ltd.",Digging In,still operating in Russia,Industrials,Japan,
Muehlhan AG,Digging In,Business as usual,Materials,Germany,
New Yorker Marketing & Media GmbH,Digging In,continue to operate and open new stores,Industrials,Germany,
Nippon Telegraph and Telephone Corporation,Digging In,continues to operate cloud services in Russia,Communication Services,Japan,
NIS Serbia,Digging In,partnership with Gazprom Neft; Gazprom has a 50% stake in NIS,Energy,Serbia,
